A-Bomb,Accelerated Healing
A-Bomb,Durability
A-Bomb,Longevity
A-Bomb,Super Strength
A-Bomb,Stamina
A-Bomb,Camouflage
A-Bomb,Self-Sustenance
Abe Sapien,Agility
Abe Sapien,Accelerated Healing
Abe Sapien,Cold Resistance
Abe Sapien,Durability
Abe Sapien,Underwater breathing
Abe Sapien,Marksmanship
Abe Sapien,Weapons Master
Abe Sapien,Longevity
Abe Sapien,Intelligence
Abe Sapien,Super Strength
Abe Sapien,Telepathy
Abe Sapien,Stamina
Abe Sapien,Immortality
Abe Sapien,Reflexes
Abe Sapien,Enhanced Sight
Abe Sapien,Sub-Mariner
Abin Sur,Lantern Power Ring
Abomination,Accelerated Healing
Abomination,Intelligence
Abomination,Super Strength
Abomination,Stamina
Abomination,Super Speed
Abomination,Invulnerability
Abomination,Animation
Abomination,Super Breath
Abraxas,Dimensional Awareness
Abraxas,Flight
Abraxas,Intelligence
Abraxas,Super Strength
Abraxas,Size Changing
Abraxas,Super Speed
Abraxas,Teleportation
Abraxas,Magic
Abraxas,Dimensional Travel
Abraxas,Immortality
Abraxas,Invulnerability
Abraxas,Molecular Manipulation
Abraxas,Energy Manipulation
Abraxas,Power Cosmic
Absorbing Man,Cold Resistance
Absorbing Man,Durability
Absorbing Man,Energy Absorption
Absorbing Man,Super Strength
Absorbing Man,Invulnerability
Absorbing Man,Elemental Transmogrification
Absorbing Man,Fire Resistance
Absorbing Man,Natural Armor
Absorbing Man,Molecular Manipulation
Absorbing Man,Heat Resistance
Absorbing Man,Matter Absorption
Adam Monroe,Accelerated Healing
Adam Monroe,Immortality
Adam Monroe,Regeneration
Adam Strange,Durability
Adam Strange,Stealth
Adam Strange,Flight
Adam Strange,Marksmanship
Adam Strange,Weapons Master
Adam Strange,Intelligence
Adam Strange,Super Speed
Adam Strange,Fire Resistance
Adam Strange,Enhanced Sight
Adam Strange,Power Suit
Agent Bob,Stealth
Agent Zero,Energy Absorption
Agent Zero,Longevity
Agent Zero,Super Strength
Agent Zero,Energy Blasts
Agent Zero,Energy Beams
Agent Zero,Power Suit
Air-Walker,Flight
Air-Walker,Super Strength
Air-Walker,Super Speed
Air-Walker,Self-Sustenance
Air-Walker,Molecular Manipulation
Air-Walker,Power Cosmic
Ajax,Agility
Ajax,Super Strength
Ajax,Super Speed
Ajax,Heat Generation
Ajax,Power Suit
Alan Scott,Flight
Alan Scott,Danger Sense
Alan Scott,Intelligence
Alan Scott,Telepathy
Alan Scott,Energy Blasts
Alan Scott,Super Speed
Alan Scott,Teleportation
Alan Scott,Energy Beams
Alan Scott,Phasing
Alan Scott,Force Fields
Alan Scott,Hypnokinesis
Alan Scott,Energy Manipulation
Alan Scott,Invisibility
Alex Mercer,Agility
Alex Mercer,Accelerated Healing
Alex Mercer,Stealth
Alex Mercer,Energy Absorption
Alex Mercer,Danger Sense
Alex Mercer,Marksmanship
Alex Mercer,Weapons Master
Alex Mercer,Longevity
Alex Mercer,Super Strength
Alex Mercer,Energy Blasts
Alex Mercer,Stamina
Alex Mercer,Super Speed
Alex Mercer,Enhanced Senses
Alex Mercer,Jump
Alex Mercer,Shapeshifting
Alex Mercer,Immortality
Alex Mercer,Invulnerability
Alex Mercer,Elasticity
Alex Mercer,Substance Secretion
Alex Mercer,Enhanced Hearing
Alex Mercer,Natural Armor
Alex Mercer,Adaptation
Alex Mercer,Gliding
Alex Mercer,Natural Weapons
Alex Mercer,Wallcrawling
Alex Mercer,Matter Absorption
Alex Mercer,Vision - Thermal
Alex Woolsly,Underwater breathing
Alien,Agility
Alien,Cold Resistance
Alien,Durability
Alien,Stealth
Alien,Super Strength
Alien,Super Speed
Alien,Enhanced Senses
Alien,Jump
Alien,Substance Secretion
Alien,Natural Armor
Alien,Heat Resistance
Alien,Natural Weapons
Alien,Wallcrawling
Alien,Vision - Thermal
Allan Quatermain,Marksmanship
Amazo,Agility
Amazo,Lantern Power Ring
Amazo,Durability
Amazo,Flight
Amazo,Underwater breathing
Amazo,Marksmanship
Amazo,Power Augmentation
Amazo,Longevity
Amazo,Intelligence
Amazo,Super Strength
Amazo,Cryokinesis
Amazo,Telepathy
Amazo,Energy Blasts
Amazo,Duplication
Amazo,Size Changing
Amazo,Stamina
Amazo,Super Speed
Amazo,Weapon-based Powers
Amazo,Teleportation
Amazo,Enhanced Senses
Amazo,Jump
Amazo,Shapeshifting
Amazo,Camouflage
Amazo,Phasing
Amazo,Fire Control
Amazo,Enhanced Memory
Amazo,Reflexes
Amazo,Invulnerability
Amazo,Energy Constructs
Amazo,Force Fields
Amazo,Power Absorption
Amazo,Enhanced Hearing
Amazo,Time Travel
Amazo,Enhanced Smell
Amazo,Water Control
Amazo,Vision - Telescopic
Amazo,Magnetism
Amazo,Invisibility
Amazo,Vision - Microscopic
Amazo,Super Breath
Amazo,Vision - Night
Amazo,Vision - Heat
Amazo,Vision - X-Ray
Amazo,Vision - Thermal
Ammo,Weapons Master
Ando Masahashi,Power Augmentation
Angel,Agility
Angel,Accelerated Healing
Angel,Durability
Angel,Stealth
Angel,Flight
Angel,Longevity
Angel,Super Strength
Angel,Stamina
Angel,Super Speed
Angel,Enhanced Senses
Angel,Magic
Angel,Immortality
